Name (string),Date of Birth (date),Yearly Income in Euros,ID (integer)
Brian Aker,2011-02-14T00:00Z,49781.75,7459
Joshua Bloch,2008-05-23T00:00Z,38481.54,4083
Jon Bosak,2007-04-02T00:00Z,62819.91,6787
Jeff Bonwick,2009-03-27T00:00Z,64354.37,485
Steve Bourne,2010-06-15T00:00Z,34585.23,1208
Tim Bray,2009-05-25T00:00Z,37860.07,4667
David J. Brown,2010-04-19T00:00Z,60219.06,9716
Bryan Cantrill,2010-05-27T00:00Z,33071.61,6128
Alfred Chuang,2011-04-18T00:00Z,93172.83,5813
Danny Cohen,2009-11-06T00:00Z,36329.07,5628
Danese Cooper,2006-11-07T00:00Z,67385.96,9349
James Duncan Davidson,2012-01-02T00:00Z,16969.62,2491
L. Peter Deutsch,2008-05-30T00:00Z,19474.11,9185
Whitfield Diffie,2010-02-21T00:00Z,54720.71,5463
Robert Drost,2006-05-25T00:00Z,44958.42,8342
Dan Farmer,2008-12-28T00:00Z,45755.71,4273
Marc Fleury,2010-12-03T00:00Z,59628.61,5396
Ned Freed,2009-12-09T00:00Z,38395.20,9020
Richard P. Gabriel,2009-08-18T00:00Z,69200.09,1283
John Gage,2008-02-22T00:00Z,34173.04,5520
John Gilmore,2007-01-18T00:00Z,72810.35,9618
James Gosling,2012-03-16T00:00Z,27623.70,2219
Berny Goodheart,2009-12-02T00:00Z,17554.58,7236
Todd Greanier,2007-12-28T00:00Z,46867.17,767
Bill Joy,2009-11-08T00:00Z,15595.74,19
Vinod Khosla,2011-12-17T00:00Z,74611.83,1061
Peter van der Linden,2011-05-19T00:00Z,82876.80,8510
Chris Malachowsky,2011-04-10T00:00Z,69876.75,4780
Craig McClanahan,2007-01-13T00:00Z,61121.12,7394
Scott McNealy,2006-03-13T00:00Z,82557.17,6837
Larry McVoy,2008-09-02T00:00Z,39443.46,4799
M?rten Mickos,2010-07-05T00:00Z,86621.45,609
Jim Mitchell,2006-08-18T00:00Z,71036.58,615
Ian Murdock,2006-12-04T00:00Z,74354.39,1924
Jakob Nielsen,2011-01-16T00:00Z,86520.33,3519
Peter Norvig,2008-08-17T00:00Z,46755.93,2190
John Ousterhout,2007-08-27T00:00Z,39958.59,7197
Greg Papadopoulos,2010-08-11T00:00Z,78757.01,1817
Radia Perlman,2010-09-07T00:00Z,10774.10,3332
Simon Phipps,2010-04-21T00:00Z,82560.19,7142
Kim Polese,2006-08-16T00:00Z,65984.73,7220
Curtis Priem,2009-12-23T00:00Z,32662.90,8640
George Reyes,2006-04-22T00:00Z,21999.18,2947
David S. H. Rosenthal,2006-10-09T00:00Z,10922.63,2136
Bob Scheifler,2008-06-21T00:00Z,33317.26,3433
Eric Schmidt,2009-09-17T00:00Z,21681.18,1164
Jonathan I. Schwartz,2007-03-04T00:00Z,19352.40,3633
Bob Sproull,2008-10-09T00:00Z,56218.78,3722
Guy L. Steele,2011-11-30T00:00Z,59341.09,3217
Bert Sutherland,2008-03-31T00:00Z,21905.84,5354
Ivan Sutherland,2009-07-18T00:00Z,94787.73,9361
Bruce Tognazzini,2010-01-18T00:00Z,56664.28,1486
Marc Tremblay,2008-03-06T00:00Z,10281.05,5001
Bud Tribble,2009-10-08T00:00Z,37237.81,2757
Bill Vass,2008-08-01T00:00Z,43615.79,7775
Michael Widenius,2010-12-30T00:00Z,52584.03,7227
Edward Zander,2012-03-14T00:00Z,13035.19,8957
